Method,Silhouette,DB Index,ARI
VAE+KMeans,0.2644527554512024,1.4946129598719304,0.7736745947181768
VAE+Agglomerative,0.2553336024284363,1.5583337715389174,0.9472028690484353
VAE+DBSCAN,,,
