Method,Silhouette,DB,ARI,NMI,Purity
β-VAE+KMeans,0.2628720124296545,1.5013083503047264,0.7736745947181768,0.7283579512163216,0.9398998330550918
β-VAE+Agglomerative,0.25590158079307895,1.5543730061378462,0.9537243541540581,0.9197962425011985,0.988313856427379
PCA+KMeans,0.2956157360738807,1.37662699836918,0.7795702833570648,0.7335824041593081,0.9415692821368948
MFCC+KMeans,0.3200055956840515,1.1645605072868956,-0.0005771227856687886,0.0008018340833733103,0.5158597662771286
