title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
International Mother Language Day,country,Pridesys,2018,53,{},প্রাইডসিস পরিবারের পক্ষ থেকে আন্তর্জাতিক মাতৃভাষা দিবসে সকল ভাষা শহীদদের প্রতি জানাই গভীর শ্রদ্ধা ও ভালোবাসা !,3626525,bn,bn,bn
এমন চেনা - Ashes,country,Ashes,2018,41,{},"এমন চেনা চিনবে লোকে তাকানো যাবে না চোখে
এমন সুখের আনন্দের চাইতে দুঃখ পাওয়া ভালো

আ......... আ...... আহারে......

এমন মাটির বাসার চাইতে আকশের চিল ভালো
ছোট বেলার খেলার সাথি বড় হয়ে বদলে গেসে

এমন চেনা চিনবে লোকে তাকানো যাবে না চোখে

এমন গানের লাইনের চাইতে বালিশ ধরে কান্না ভালো
এমন কথা শোনার চাইতে ধুঁকে ধুঁকে মরা ভালো

এমন চেনা চিনবে লোকে তাকানো যাবে না চোখে
আ......... আ......... আহারে......

এমন পোড়া মনের চাইতে সুনিলের কবিতা ভালো
জনম ধরে কষ্টের কথা বলতে বলতে জনম গেলো

এমন চেনা চিনবে লোকে তাকানো যাবে না চোখে
এমন সুখের আনন্দের চাইতে দুঃখ পাওয়া ভালো
আমার একটা মানুষ হইলো না যে আগাগোরা জানবে আমারে
আমার একটা মানুষ হইলো না যে আগাগোরা জানবে আমারে
আমার একটা মানুষ হইলো না যে আগাগোরা জানবে আমারে
আমার একটা মানুষ হইলো না যে আগাগোরা জানবে আমারে",3640015,bn,bn,bn
Ovimani Valobasha,rock,One Merge,2016,36,{},"[Verse 1]
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না

[Pre-Chorus]
আমার এই চোখের দিকে তাকিয়ে দেখ
কত ভালোবাসা আছে অগোছালো

[Chorus]
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না

[Interlude]

[Verse 2]
আষাঢ়-শ্রাবণ বৃষ্টি ভেজা দিন গুলোতে
মিষ্টি-মধুর তোমার হাসি প্রাণেতে বাজে
আষাঢ়-শ্রাবণ বৃষ্টি ভেজা দিন গুলোতে
মিষ্টি-মধুর তোমার হাসি প্রাণেতে বাজে
[Pre-Chorus]
তুমি কেন এ বুকেতে বাঁধলে বাসা
ভীরু মনের স্বপ্নগুলো পায় যে ভাষা

[Chorus]
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না

[Interlude]

[Verse 3]
অভিমানী চোখে তুমি আর দেখো না
ভালোবাসার স্বপ্ন-সুখে বেঁধে রাখো না
অভিমানী চোখে তুমি আর দেখো না
ভালোবাসার স্বপ্ন-সুখে বেঁধে রাখো না

[Pre-Chorus]
তোমার চোখে আমার চোখ পড়ে যখনি
বারে বারে এ-মন আমার, করে পাগলামি

[Chorus]
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না
[Pre-Chorus]
আমার এই চোখের দিকে তাকিয়ে দেখ
কত ভালোবাসা আছে অগোছালো

[Chorus]
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না

[Pre-Chorus]
কি করে বোঝাবো তোমায় কত ভালোবাসি
এসো সব ভুলে থাকি পাশাপাশি

[Chorus]
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না

[Outro]
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না
আসি বলে গেলে তুমি আর এলে না
কত কথা দিয়েছিলে ভুলে যেও না",3640986,bn,bn,bn
Bullet Kingba Kobita বুলেট কিংবা কবিতা,rock,Shironamhin,2009,1716,{},"নিয়ন আলোর রাজপথে টিএসসির মোড়ে চায়ের দোকানে
বুলেট কিংবা কবিতায়, যদি ফেরার পথে ভুল হয়ে যায়…
মাঝে মাঝে সবুজ পতাকা, দু’হাতের মাঝে বন্দী
অজস্র কবিতায় আর গানে, জ্বলে জ্বলে নিঃশেষ
কবি আর কবিতা রাজপথ ছুঁয়ে যায়
কতশত কবি এমনই এক টিএসসির মোড়ে
প্রতিরাতের উদাস চাঁদ দেয়াল লেখা থেকে দুঃখ কেনে
যদি ফেরার পথে ভুল হয়ে যায়
অসময়ে, অন্ধকারে, দেয়াল জুড়ে বর্ণমালার মিছিল
ক্লান্ত করুণ চোখে…
শ্লোগান শ্লোগান আর মিছিলের নগরে, টিএসসির নিঃশ্বাস
বুলেট কিংবা কবিতার খাতায়, কবি আর কবিতার খুন হওয়ার আশ্বাস
দেয়াল লেখা থেকে বর্ণমালা যদি আলোর মিছিল হয়ে যায়
টিএসসির মোড়, রাতের রাজপথ বুলেট কিংবা কবিতায়
যদি ফেরার পথে ভুল হয়ে যায়…
মৃত কবিদের কবিতার আসরে, ছবি হয়ে থাকেনা রাতের রাজপথ
পল্টন ময়দান, টিএসসির মোড়, জনসমাবেশ আর বিশাল অবরোধ
এই অবসরে দেয়াল লেখা যদি মানচিত্র হয়ে যায়
অজস্র কবিতার জনসমাবেশ থেকে বুলেট কিংবা কবিতায়
যদি ফেরার পথে ভুল হয়ে যায়…",3671392,bn,bn,bn
Porob Lagain De,rb,Khyada,2018,61,{},"|————————|
| পরব লাগায় দে |
|————————|

লে লে ঝুমুর গাইলে তুই
বোল তুলে দে মাদলে। [X2]

আছিসে লগন এবার, [X2]
লে লে পরব লাগায় দে।
——— লাগায় দে।। [X3]

আছিসে লগন এবার, [X2]
লে লে পরব লাগায় দে।
——— লাগায় দে।। [X3]

ভাত খাবি না মদ খাবি
হাটে যাবি না ঘরে যাবি। [X2]

বলি তোর দামটা ফুটা করি তুই
আরে তোর দামটা ফুটা করি তুই
কোথা যাবি বিগাইতে।
——— বিগাইতে। [X3]
লে লে ঝুমুর গাইলে তুই
বোল তুলে দে মাদলে। [X2]

আছিসে লগন এবার, [X2]
লে লে পরব লাগায় দে।
——— লাগায় দে।। [X3]

কমলির যৌবন পুরালো
অরে গ্যাদার মালা শুকালো রে…। [p2]

লাল ফিতা কাঁচের চুরি
মাথার কাটা, কলের ঝাড়ি। [p2]
রথের মেলায় কত লগন
দেখলি ঘুমের ঘরেতে।
——— ঘরেতে।। [X3]

লে লে ঝুমুর গাইলে তুই
বোল তুলে দে মাদলে। [X2]

আছিসে লগন এবার, [X2]
লে লে পরব লাগায় দে।
——— লাগায় দে।। [X3]

ছাড় না ক্যানে খ্যামটা নাচোন
ও তোর হ্যেড়িয়া মনের গ্যাছে লগন। [p2]
আইলো যে ঝড়, কাজন মেলা
ঝড় কদমে, বাধন জ্বালা। [p2]
সবাই মিলে মাররে ঠ্যেলা
পাহাড় টকে সওরাইতে।
——— সওরাইতে। [X3]

লে লে ঝুমুর গাইলে তুই
বোল তুলে দে মাদলে। [X2]

আছিসে লগন এবার, [X2]
লে লে পরব লাগায় দে।
——— লাগায় দে।। [X9]",3690592,bn,bn,bn
Ahoban,pop,Habib Wahid,2011,162,{},"মায়া মায়া আলোতে
ভীরু ভীরু পায়েতে
তুমি এলে নিরবে কাছে

নিভু নিভু আলোতে
ঝিরি ঝিরি বাতাসে
তুমি এলে সঙ্গোপনে

ওমম... নয়নে গোপনে
যত দেখি কাটেনাটো ঘোর
হ... অঅঅ...
এসনা আবেশে
প্রেমেরও নেশাতে বিভোর
হৃদয়ে ওঠে ঝর

মাতাল পপ্রণয়ের আলো
কি নেশা ছড়াল
চোখের ইশারাতে
উতাল সে আহবানে
নয়নে নয়নে
দিশা এ নিশীথে হা ...
হ অ অ উদাসি বাতাসে
তোমারই সুবাসে
ঝরাল উন্মাদনা
চপলও চাহনি
তুমি মায়াবিবি
জরালে শিহরণে

চুপি চুপি এই নিশি
বলে যায় ভালবাসি
নিরালাই নিরজনতায়
ও ম ম তুমি আমি মুখোমুখি
এস তবে কাছাকাছি
এসনা আলিঙ্গনে

মাতাল পপ্রণয়ের আলো
কি নেশা ছড়াল
চোখের ইশারাতে
উতাল সে আহবানে
নয়নে নয়নে
দিশা এ নিশিতে হা ...

মায়া মায়া আলোতে
ভীরু ভীরু পায়েতে
তুমি এলে নিরবে কাছে

নিভু নিভু আলোতে
ঝিরি ঝিরি বাতাসে
তুমি এলে সঙ্গোপনে
ওমম... নয়নে গোপনে
যত দেখি কাটেনাটো ঘোর
হ... অঅঅ...
এসনা আবেশে
প্রেমেরও নেশাতে বিভোর
হৃদয়ে ওঠে ঝর

মাতাল পপ্রণয়ের আলো
কি নেশা ছড়াল
চোখের ইশারাতে
উতাল সে আহবানে
নয়নে নয়নে
দিশা এ নিশীথে হা ... x ৩",3714786,bn,bn,bn
Projapoti Title Song,rb,Habib Wahid,2011,2054,"{""Dilshad Nahar Kona""}","লাজুক পাতার মত লজ্জাবতি
তোমাকে ছুঁয়ে দিতে, চাই অনুমতি ।

সপ্নের আবির থেকে
ইচ্ছের সাত রঙ মেখে
তোমার আকাশে হব প্রজাপতি ।

এক মুঠো জোনাকী দাও ছোড়িয়ে
আলোর চাদর দিয়ে, নাও জোরিয়ে ।

এক মুঠো জোনাকী দেবো ছোড়িয়ে
আলোর চাদর দিয়ে নেব জোরিয়ে ।

নিবির পিছুপিছু, সাধের কিছুকিছু
হৃদয় দেয়া নেয়ার সম্মতি ।

লাজুক পাতার মত লজ্জাবতি
তোমাকে ছুঁয়ে দিতে, চাই অনুমতি ।

সপ্নের আবির থেকে
ইচ্ছের সাত রঙ মেখে
তোমার আকাশে হব প্রজাপতি ।
হা হা হা হাহ....ও ও ও

হাত ধরে দুজনে চল হারাব
না হয় নিষেধ ভুলে দুপা বাড়াবো ।
হাত ধরে দুজনে চল হারাবো
না হয় নিষেধ ভুলে দুপা বাড়াবো ।

করে পাশাপাশি ,ভালবাসাবাসি
ভালবাসায় বল কি ক্ষতি ।

লাজুক পাতার মত লজ্জাবতি
তোমাকে ছুঁয়ে দিতে, চাই অনুমতি ।

সপ্নের আবির থেকে, (হা হা...)
ইচ্ছের সাত রঙ মেখে, (হা হা...)
তোমার আকাশে হব প্রজাপতি ।",3758402,bn,bn,bn
GhorGari,rb,Highway (Thailand),2018,116,{},"চাঁদনী রাইতে নদীর ওপারে
আকাশ থেইকা নামলো পরী
আমার চোখে চলে ঘোরগাড়ি
আমি হাবলায়, নদীর এপারে
ঘুমের ঘোরে দেখি তারে
ছবির মত ডাকে আমারে
দেখাও কত রঙিন ছবি
ছবির আশায় হারাইলাম সবই
দয়াল বানাও কত মায়ার ছবি
ছবির নেশায় ছাড়লাম সবই
আসার কালে ছিলাম ঘুমে
কিবা আলো আঁধার
ঘুম ভাঙাইলা অসময়ে দয়াল
কইরা ছবির শিকার
বুঝলাম দয়াল তোমার রীতি
ছবিরও খেলায়
বুইঝা আবার যাই হারাইয়া
রঙিন ছবির মেলায়
ঘুম ভাঙিয়া আবার ঘুমাই
দেখাযায় ছবি
নেশা কি লাগাইলা ছবিতে দয়াল
কি মায়ার ছবি
দেখাও কত রঙিন ছবি
ছবির আশায় হারাইলাম সবই
দয়াল বানাও কত মায়ার ছবি
ছবির নেশায় ছাড়লাম সবই
আমি হাবলায়, নদীর এপারে
ঘুমের ঘোরে দেখি তারে
ছবির মত ডাকে আমারে",3780531,bn,bn,bn
O Mon Romzaner Oi Rozar Sheshe Elo Khushir Eid | ও মন রমজানের ঐ রোজার শেষে এলো খুশির ঈদ,country,Kazi Nazrul Islam,1931,9809,{},"Chorus:
ও মন রমজানের ঐ রোজার শেষে এলো খুশির ঈদ
O Mon Romzaner Oi Rozar Sheshe Elo Khushir Eid
তুই আপনাকে আজ বিলিয়ে দে শোন আসমানি তাগিদ
Tui Apnake Aaj Biliye De, Shun Asmani Tagid

Verse 1:
তোর সোনা–দানা বালাখানা সব রাহে লিল্লাহ
Tor Shona-Daana Balakhana, Shob Rahe Lillah
দে যাকাত মুর্দা মুসলিমের আজ ভাঙাইতে নিঁদ
De Zakat Murda Muslimer Aaj Bhangaite Neend

Chorus:
ও মন রমজানের ঐ রোজার শেষে এলো খুশির ঈদ
O Mon Romzaner Oi Rozar Sheshe Elo Khushir Eid
তুই আপনাকে আজ বিলিয়ে দে শোন আসমানি তাগিদ
Tui Apnake Aaj Biliye De, Shun Asmani Tagid

Verse 2:
আজ পড়বি ঈদের নামাজ রে মন সেই সে ঈদগাহে
Aaj Porbi Eider Namaz Re Mon, Shei She Eidgahe
যে ময়দানে সব গাজী মুসলিম হয়েছে শহীদ
Je Moydaane Shob Ghazi Muslim Hoyeche Shaheed
Chorus:
ও মন রমজানের ঐ রোজার শেষে এলো খুশির ঈদ
O Mon Romzaner Oi Rozar Sheshe Elo Khushir Eid
তুই আপনাকে আজ বিলিয়ে দে শোন আসমানি তাগিদ
Tui Apnake Aaj Biliye De, Shun Asmani Tagid

Verse 3:
আজ ভুলে যা তোর দোস্ত-দুশমণ, হাত মেলাও হাতে
Aaj Bhoole Ja Tor Dosto Dushmon, Haat Melao Haate
তোর প্রেম দিয়ে কর বিশ্ব নিখিল ইসলামে মুরিদ
Tor Prem Diye Kor Bishho Nikhil Islame Mureed

Chorus:
ও মন রমজানের ঐ রোজার শেষে এলো খুশির ঈদ
O Mon Romzaner Oi Rozar Sheshe Elo Khushir Eid
তুই আপনাকে আজ বিলিয়ে দে শোন আসমানি তাগিদ
Tui Apnake Aaj Biliye De, Shun Asmani Tagid

Verse 4:
যারা জীবন ভরে রাখছে রোজা, নিত্য উপবাসী
Jara Jibon Bhore Rakhche Roza, Nitto Upobaashi
সেই গরীব ইয়াতিম মিসকীনে দে যা কিছু মুফীদ
Shei Goreeb Yateem Miskeene De Ja Kichu Mufeed

Chorus:
ও মন রমজানের ঐ রোজার শেষে এলো খুশির ঈদ
O Mon Romzaner Oi Rozar Sheshe Elo Khushir Eid
তুই আপনাকে আজ বিলিয়ে দে শোন আসমানি তাগিদ
Tui Apnake Aaj Biliye De, Shun Asmani Tagid
Verse 5:
ঢাল হৃদয়ের তোর তশ্‌তরিতে শির্‌নি তৌহিদের
Dhaal Hridoyer Toshtoreete Shirni Tawheeder
তোর দাওয়াত কবুল করবে হজরত হয় মনে উম্মীদ
Tor Dawat Kobul Korben Hazrat Hoy Mone Ummeed

Chorus:
ও মন রমজানের ঐ রোজার শেষে এলো খুশির ঈদ
O Mon Romzaner Oi Rozar Sheshe Elo Khushir Eid
তুই আপনাকে আজ বিলিয়ে দে শোন আসমানি তাগিদ
Tui Apnake Aaj Biliye De, Shun Asmani Tagid

Verse 6:
তোরে মারল' ছুঁড়ে জীবন জুড়ে ইট পাথর যারা
Tore Marlo Chure Jibon Jure, It Pathor Jara
সেই পাথর দিয়ে তোলরে ​গড়ে প্রেমেরই মসজিদ
Shei Pathor Diye Tolre Gore Premeri Masjid

Chorus:
ও মন রমজানের ঐ রোজার শেষে এলো খুশির ঈদ
O Mon Romzaner Oi Rozar Sheshe Elo Khushir Eid
তুই আপনাকে আজ বিলিয়ে দে শোন আসমানি তাগিদ
Tui Apnake Aaj Biliye De, Shun Asmani Tagid",3787687,bn,bn,bn
Avijog,country,Tanveer Evan & Benazir,2018,78933,{},"আমার সকল অভিযোগে তুমি
তোমার মিষ্টি হাসিটা কি আমি?
আমার না বলা কথার ভাজে
তোমার গানের কত সুর ভাসে!

তোমায় নিয়ে আমার লেখা গানে
অযথা কত স্বপ্ন বোনা আছে!
আমার হাতের আঙুলের ভাজে
তোমাকে নিয়ে কত কাব্য রটে!

ভুলিনি তো আমি
তোমার মুখে হাসি!
আমার গাওয়া গানে তোমাকে ভালোবাসি।

আসো আবারো কাছে
হাতটা ধরে পাশে
তোমায় নিয়ে যাব আমার পৃথিবীতে!

হে.. হে.. এ.. এই পৃথিবীতে এ.. এ..

তোমার পথে পা মিলিয়ে চলা
তোমার হাতটি ধরে বসে থাকা
আমার আকাশে তোমার নামটি লেখা
সাদার আকাশে কালো-আবছা বোনা!
তোমায় নিয়ে আমার লেখা গানে
অযথা কত স্বপ্ন বোনা আছে!
আমার হাতের আঙুলের ভাজে
তোমাকে নিয়ে কত কাব্য রটে।

ভুলিনিতো আমি
তোমার মুখে হাসি
আমার গাওয়া গানে তোমাকে ভালোবাসি!

আসো আবারো কাছে
হাতটা ধরে পাশে
তোমায় নিয়ে যাব আমার পৃথিবীতে..!

হে.. হে.. এ.. এই পৃথিবীতে এ.. এ..

ভুলিনিতো আমি
তোমার মুখে হাসি
আমার গাওয়া গানে
তোমাকে ভালোবাসি।

আসি তোমার কাছে
হাতটা ধরে পাশে
আমায় নিয়ে চলো তোমার পৃথিবীতে।",3788508,bn,bn,bn
Boyosta Kono Matter Na,pop,One Merge,2020,59,{},"[Intro]

[Chorus]
অন্তরটা থাকে বুকের পাঁজরের ভিতর হায়..!
ভালোবাসি কতটা বোঝানো তাই বড় দায়..!
বয়সটা Matter না ভেবে দেখ ঠান্ডা মাথায়
আগে ক্যালেন্ডার ছিলোনা তাই বলে কি প্রেম হয় নাই?!!

[Verse 1]
প্রতিদিন চারটায় তুমি আসো
স্কুল শেষে... কোচিংয়ে
হেবি মুডে ফার্স্ট বেঞ্চিতে বসো
ঘাড়ের ব্যাগ... নামিয়ে!!

[Pre Chorus 1]
আমি বসি দরজার পাশে, আমার ক্লাসের শেষ মাথায়
আরে হালায় কয়কি জানলা দিয়া ডিরেক্ট তোমায় দেখা যায়
কেউ বসলে লাস্ট বেঞ্চিতে, আমার মনটা পিড়পিড়ায়
এই বুঝি আজকে আমার অ্যাঙ্গেলটা পাল্টাইতে হয়..!

[Interlude]
[Verse 2]
সকাল-দুপুর তুমি আসো
প্রায় দু-তিন বার, ক্যান্টিনে...
কিছু খাও আর অযথাই হাসো
আমি থাকি, পিছনে..!

[Pre Chorus 2]
খিদা লাগলেও কিছু খাইনা, টিফিন বাজেট ২০ টাকাই
১০ টাকা অটো-ভাড়া; তোমায় Follow করতে হয়
বাকি ১০ টাকা দিয়া ফোনে MB কার্ড ঢুকাই
FB তে তোমার ID ঘাটতেই MB ফুরুৎ হয়..!!

[Interlude]

[Verse 3]
ক্লাস জুড়ে ছাত্রী তুমি ভালো
Bright ভবিষ্যত জীবনে...
SSC-Test এও রেজাল্ট ভালো...
5.0 GPA...!

[Pre Chorus 3]
সামনের মাসে স্কুল শুদ্ধো তোমাদের দিবে বিদায়
আমি ভাবছি পাস করতেই হবে নাইনের Final পরীক্ষায়
কি করবো কি না-করবো, নাইন-টেনের এই ঝামেলায়
পড়েবো কি?!! এই চিন্তায় এ্যালার্জিতে আমার গা চুলকায়
বেস্ট ফ্রেন্ড বলে আমাকে, ""দ্যাখ আমি কি করতে পাই!""
""পরীক্ষার আগে Admit কট করলেই আর চিন্তা নাই""
তোমার এক বছর গ্যাপ মানে, ""আমাকে কে ঠেকায়!!""
তারপর তুমি একি ক্লাসে, আর বয়সটা কোন ব্যাপার নয়..!!

[Chorus]
অন্তরটা থাকে বুকের পাঁজরের ভিতর হায়..!
ভালোবাসি কতটা বোঝানো তাই বড় দায়..!
বয়সটা Matter না ভেবে দেখ ঠান্ডা মাথায়
আগে ক্যালেন্ডার ছিলোনা তাই বলে কি প্রেম হয় নাই?!!

[Outro]",3805256,bn,bn,bn
Fuck U Senti-G,rap,Anik Mostofa,2018,65,{Fashol},"Hey Yo. Senti-G...
This One is For You Man..
Check This Out
Check this Out Man....
সেন্টি খাইয়া পেন্টি পইরা হাতে চুড়ি শাড়ি লইয়া
পোলায় মাইগগা চাটা
আরে ছ্যাকা খাইয়া ডলা খাইয়া
ধোয়া ভিত্রে নিমাই লইয়া পলিথিনে আঠা..
ভিত্রে টান শান্তি হাওয়া ৩ টাকায় সবুজ
আরে সবুজে দুনিয়া পাপেতে নষ্ট হালায় নাকি অবুঝ
ভিজেছে রাবার কমেছে মধু
ক্লান্তি শরীরে পোলায় সাধু
কমেছে মানুষ কমেছে পাপী
শান্তী প্রাপ্ত পাড়ার বধূ
লিরিকে আগুন হস্তে বেগুন পিনিকেই শান্তি
শান্তির মা পাপিষ্ঠ আক্কাস কাকার ক্লান্তি
দুই দিনের বৈরাগী স্বাভাবে নর্তকী
ঝামেলা বান্ধবী আবেগে Senti-G
হিপ হপ এ Sexy
নামের আগে Young-G
বান্ধবি মিষ্টি আকাশে বৃষ্টি
আবেগে ভিজে লাঠি
আরে তামাকে পিনিক মাথাতে  লিরিকে ঝুলে শলার কাঠি
গুগুলে খোজা লাঠি তো সোজা ঠাপেতে ১৫ সেকেন্ড
আরে মুখেতে কথা পাছাতে ব্যাথা আবেগে পচড়া লিজেন্ড
হাতেতে কাটারি গাঞ্জা আ্যাম্পল লইয়া যান গা
ফাপরে কাপড় ছিড়েছে বাপুরে মিরপুরের চামচা
চাপাইয়া সাইডে ঢাকাইয়া পোলা
ফরিদপুরে হিপ হপ
পকেটে পাতা কোমরে লোহা
পোলায় পুরাই ললিপপ
চো*নার পো কাইষ্টা হালা ছোটলকি সম্পদ
ভাই ব্রাদার চাংগে ভায়া তুই সালা বোকচো*
পায়ের তলে গীবদ গাইয়া সাড়ে এগারো চামচামি
আর কত ছ্যাচড়ামি....?
ঐ সাইডে গিয়া অপ যা
আমাগোরে দেইখা যা
চোদর বোদর করলে পরে
চিপায় দিমু ডুকাইয়া,,,,
কয়জনের বাল পালাইছো
গ্যাংস্টার চোদাও
বাপের উপরে বাপ আছে
খারাও শুইনা যাও
বাউলে দেশে র‍্যাপ গাইতাছো
আমরা বুঝিনা
দেশি কুত্তার বিলাতি ডেক
আর মারিওনাদেশপ্রেমিকের ভাত নাই
দেশপ্রেমিক প্রেমিক আছে
তাদের কোনো সম্মান নাই,,,
দেশপ্রেমিক মুড়ি বেচে
পোলাপান হিপহপ গায়
দেশপ্রেমিকের নাম দিয়া
কুত্তারা সব মুড়ি খায়,,,,।
দাড়াও একটু বলি আমি বাঘের বাচ্চা না
তোমগো মতো কোমড়েতে পিস্তল থাকেনা
নাবির নিছে প্যান্ট পড়িয়া ভাব মারাইওনা
ভদ্র আমি ভদ্র রবো লাড়া দিবিনা
গর্বত দাবিদার পোলা নাকি Young-G
কাইষ্টা হালা ভগর ভগর মাল্ডা খুব সেল্ফিস
পাছাটা হেলিয়ে পচরা দেখিয়ে নাচ লে বাসন্তি
ওই আবাল পোলাপান হ টাইম থাকতে সাবধান
নাইলে পুরা ছিলা দিমু ডাকবি আমারে বাপজান
তল্পি তল্পা গুছায় নিয়া ফের মিরপুরে যান
চান্দি চুন্দ্রি পোলা আস্তে বিটের বাড়ি খান
গুটিবাজ পোলাপান নিজেরে নাকি বলে KING
পাবনা ফেরত পাগন নাকি ব্যাপারটা কনফিউজিং
ভাবির ও দোকানে গঞ্জিকা সেবনে নিজেরে বলে সে Big thing
Timez up Bitch ভালো হয়া যাইস coz এইডাই লাষ্ট ওয়ার্নিং",3816817,bn,bn,bn
Tor Jonno Ami Bonno,pop,Fuad,2010,7721,{},"তোর জন্য আমি বন্য
মাতাল অনুভব জুড়ে সব শূন্য শুধু বন্য
তুই নিখোঁজ অচিন পুরে

শপথ নিলাম তোকেই রাণী
করবো নিশ্চয়ই এই রাজত্বে
খুঁজে দেখিস আমার মত
পাবি না কেউ স্বর্গ মর্ত্যে

দেখেছি যা দেখার ছিলো এই মনের আয়নায়
অবিরত আনাগোনা বৃথা সে কি হায়
আমি ভেবে ভেবে মরি তোর মনে আছে কি
দিশেহারা আমি যে তোর প্রেমে পড়েছি
অভিমানে দূরে আমি হারাবো যখন
ভালবাসার মৃত্যু হলে করোনা বারণ

শপথ নিলাম তোকেই রাণী
করবো নিশ্চয়ই এই রাজত্বে
খুঁজে দেখিস আমার মত
পাবি না কেউ স্বর্গ মর্ত্যে
ডুবে থাকিস বৃথা যত ঐ নষ্ট ভাবনায়
সিক্ত পণ্যে স্বপ্ন দেখা ব্যর্থ জীবনটায়
আমি পালটে দিতে পারি তোর চোখের ঐ রঙ
নরম রোদে ভালোবাসা পবিত্র ভীষণ
অভিমানে দূরে আমি হারাবো যখন
ভালবাসার মৃত্যু হলে করোনা বারণ

শপথ নিলাম তোকেই রাণী
করবো নিশ্চয়ই এই রাজত্বে
খুঁজে দেখিস আমার মত
পাবি না কেউ স্বর্গ মর্ত্যে",3869645,bn,bn,bn
